SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
BNDDHPLM_00006	3	464	+	isopropylmalate_isomerase_large_subunit	5-466/469	2/2	98.29	63.1	victors	NP_698884.1	Victors_23502757	gi|23502757|ref|NP_698884.1| isopropylmalate isomerase large subunit [Brucella suis 1330]
BNDDHPLM_00013	1	159	+	SsrA-binding_protein	1-160/160	1/1	99.38	78.1	victors	YP_002346144.1	Victors_218928269	gi|218928269|ref|YP_002346144.1| SsrA-binding protein [Yersinia pestis CO92]
BNDDHPLM_00022	6	148	+	3-dehydroquinate_dehydratase	3-145/154	0/0	92.86	67.1	victors	YP_001054549.1	Victors_126209324	gi|126209324|ref|YP_001054549.1| 3-dehydroquinate dehydratase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
BNDDHPLM_00034	21	224	+	cAMP-activated_global_transcriptional_regulator	7-210/210	0/0	97.14	77.5	victors	NP_462369.1	Victors_16766754	gi|16766754|ref|NP_462369.1| cAMP-activated global transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
BNDDHPLM_00064	1	508	+	catalase	1-508/508	0/0	100.0	98.8	victors	YP_248627.1	Victors_68249515	gi|68249515|ref|YP_248627.1| catalase [Haemophilus influenzae 86-028NP]
BNDDHPLM_00104	1	419	+	serine_hydroxymethyltransferase	20-434/435	2/4	95.4	72.6	victors	YP_002809666.1	Victors_227081115	gi|227081115|ref|YP_002809666.1| serine hydroxymethyltransferase [Vibrio cholerae M66-2]
BNDDHPLM_00106	1	429	+	phosphoribosylamine--glycine_ligase	1-429/429	0/0	100.0	76.5	victors	YP_001218530.1	Victors_147673352	gi|147673352|ref|YP_001218530.1| phosphoribosylamine--glycine ligase [Vibrio cholerae O395]
BNDDHPLM_00107	4	532	+	bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase	5-529/529	1/4	99.24	77.1	victors	YP_002348608.1	Victors_218930733	gi|218930733|ref|YP_002348608.1| bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Yersinia pestis CO92]
BNDDHPLM_00110	1	236	+	two-component_response_regulator	1-238/238	1/2	99.16	78.2	victors	YP_001052761.1	Victors_126207536	gi|126207536|ref|YP_001052761.1| two-component response regulator [Actinobacillus pleuropneumoniae serovar 5b str. L20]
BNDDHPLM_00115	1	82	+	50S_ribosomal_protein_L27	1-82/84	0/0	97.62	70.7	victors	YP_514107.1	Victors_89256745	gi|89256745|ref|YP_514107.1| 50S ribosomal protein L27 [Francisella tularensis subsp. holarctica LVS]
