# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* IKKOIBFM_00003      K03576  222.13  426.3  6.8e-129 LysR family transcriptional regulator, regulator for metE and metH
  IKKOIBFM_00003      K21900  290.73  178.6     2e-53 LysR family transcriptional regulator, transcriptional activator of the cysJI operon
  IKKOIBFM_00003      K21757  291.87  171.5   3.2e-51 LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes
  IKKOIBFM_00003      K21703  295.30  170.9   3.9e-51 LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
  IKKOIBFM_00003      K17737  272.53  167.2   5.5e-50 LysR family transcriptional regulator, carnitine catabolism transcriptional activator
  IKKOIBFM_00003      K21711  375.47  162.2   1.7e-48 LysR family transcriptional regulator, putative pyruvate carboxylase regulator
  IKKOIBFM_00003      K09681  289.03  158.3   2.8e-47 LysR family transcriptional regulator, transcription activator of glutamate synthase operon
  IKKOIBFM_00003      K14057  293.60  145.9   1.2e-43 LysR family transcriptional regulator, regulator of abg operon
  IKKOIBFM_00003      K11921  279.23  145.3   2.6e-43 LysR family transcriptional regulator, cyn operon transcriptional activator
  IKKOIBFM_00003      K04761  278.23  142.7   1.7e-42 LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
  IKKOIBFM_00003      K05817  291.27  131.4   4.2e-39 LysR family transcriptional regulator, hca operon transcriptional activator
  IKKOIBFM_00003      K21960  249.03  126.3   1.4e-37 LysR family transcriptional regulator, regulator of the ytmI operon
  IKKOIBFM_00003      K13634  445.20  125.5   2.8e-37 LysR family transcriptional regulator, cys regulon transcriptional activator
  IKKOIBFM_00003      K03566  204.87  119.9   1.3e-35 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
  IKKOIBFM_00003      K23773  202.80  119.5   2.4e-35 LysR family transcriptional regulator, flagellar master operon regulator
  IKKOIBFM_00003      K19338  278.33  115.7   2.9e-34 LysR family transcriptional regulator, nitrogen assimilation regulatory protein
  IKKOIBFM_00003      K21959  234.53  113.1   1.3e-33 LysR family transcriptional regulator, cell division regulator
  IKKOIBFM_00003      K21755  246.80  107.2     9e-32 LysR family transcriptional regulator, salicylic acid-responsive activator of bsdBCD
  IKKOIBFM_00003      K02623  235.53  105.2   2.8e-31 LysR family transcriptional regulator, pca operon transcriptional activator
  IKKOIBFM_00003      K19242  251.93   97.6   7.8e-29 LysR family transcriptional regulator, repressor for citA
  IKKOIBFM_00003      K16516  295.33   97.4   6.2e-29 LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
  IKKOIBFM_00003      K21645  177.70   91.7   5.3e-27 LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT
  IKKOIBFM_00003      K07592  328.87   90.8   7.4e-27 LysR family transcriptional regulator, tdc operon transcriptional activator
  IKKOIBFM_00003      K17850  329.47   90.7   8.9e-27 LysR family transcriptional regulator, regulator of gene expression of beta-lactamase
  IKKOIBFM_00003      K21699  210.40   87.5     9e-26 LysR family transcriptional regulator, transcriptional activator for bauABCD operon
  IKKOIBFM_00003      K21698  281.30   87.1   1.2e-25 LysR family transcriptional regulator, transcriptional activator for aaeXAB operon
  IKKOIBFM_00003      K13635  458.70   83.8   1.2e-24 LysR family transcriptional regulator, cys regulon transcriptional activator
  IKKOIBFM_00003      K13636  335.30   82.3   2.8e-24 LysR family transcriptional regulator, D-serine deaminase activator
  IKKOIBFM_00003      K05596  140.07   82.0   3.5e-24 LysR family transcriptional regulator, chromosome initiation inhibitor
  IKKOIBFM_00003      K02521  223.70   81.8   4.2e-24 LysR family transcriptional regulator, positive regulator for ilvC
  IKKOIBFM_00003      K10918  288.87   77.9   7.7e-23 LysR family transcriptional regulator, transcriptional activator AphB
  IKKOIBFM_00003      K18900  332.13   66.7   1.7e-19 LysR family transcriptional regulator, regulator for bpeEF and oprC
  IKKOIBFM_00003      K03717  181.00   63.0   2.1e-18 LysR family transcriptional regulator, transcriptional activator of nhaA
  IKKOIBFM_00003      K10972  354.87   59.9     2e-17 LysR family transcriptional regulator, transcriptional activator of the allD operon
  IKKOIBFM_00003      K21756  596.50   57.1   1.4e-16 LysR family transcriptional regulator, cis,cis-muconate-responsive activator of cat and ben genes
  IKKOIBFM_00003      K13794  329.80   56.8   1.8e-16 LysR family transcriptional regulator, regulatory protein for tcuABC
  IKKOIBFM_00003      K16135  332.87   56.6   1.8e-16 LysR family transcriptional regulator, transcriptional activator for dmlA
  IKKOIBFM_00003      K18297  275.70   51.8     8e-15 LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
  IKKOIBFM_00003      K24082  517.17   47.5   1.2e-13 LysR family transcriptional regulator, regulator of peptidoglycan recycling
  IKKOIBFM_00003      K21742  511.00   45.0   6.1e-13 LysR family transcriptional regulator, transcriptional activator for ttdABT operon
  IKKOIBFM_00003      K05798  250.47   41.6   8.3e-12 LysR family transcriptional regulator, transcriptional activator for leuABCD operon
  IKKOIBFM_00003      K14657  278.77   40.8   1.5e-11 LysR family transcriptional regulator, nod-box dependent transcriptional activator
  IKKOIBFM_00003      K18927  405.70   35.0   5.5e-10 LysR family transcriptional regulator, L-lactate utilization regulator
  IKKOIBFM_00003      K13928  258.00   30.2   1.9e-08 LysR family transcriptional regulator, malonate utilization transcriptional regulator
  IKKOIBFM_00003      K19555  436.10   26.8   2.6e-07 LysR family transcriptional regulator, spv operon transcriptional activator
  IKKOIBFM_00003      K19618  655.70   23.2   3.5e-06 LysR family transcriptional regulator, activator of insecticidal toxin
  IKKOIBFM_00003      K02019   76.70   19.0   7.1e-05 molybdate transport system regulatory protein
  IKKOIBFM_00003      K22711  388.63   13.6     0.002 LysR family transcriptional regulator, pyoluteorin biosynthesis regulator
  IKKOIBFM_00003      K00549   38.27   13.5    0.0015 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
  IKKOIBFM_00004      K12068   48.27    5.3       2.5 conjugal transfer pilus assembly protein TraL
  IKKOIBFM_00004      K11619   45.23    3.2       7.1 lia operon protein LiaI
  IKKOIBFM_00004      K01992   18.90    0.6        22 ABC-2 type transport system permease protein
  IKKOIBFM_00004      K07037  241.33    0.5        13 cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
  IKKOIBFM_00006      K15383   49.93    5.9      0.99 MtN3 and saliva related transmembrane protein
  IKKOIBFM_00006      K20032  206.50    2.6       3.9 palmitoyltransferase ZDHHC13/17 [EC:2.3.1.225]
* IKKOIBFM_00007      K02837  420.53  838.8  1.5e-253 peptide chain release factor 3
  IKKOIBFM_00007      K02355  559.23  297.6   1.5e-89 elongation factor G
  IKKOIBFM_00007      K18220  609.00  235.5     1e-70 ribosomal protection tetracycline resistance protein
  IKKOIBFM_00007      K21594 1049.63  109.7   1.2e-32 translation factor GUF1, mitochondrial [EC:3.6.5.-]
  IKKOIBFM_00007      K03596  935.80  102.9   1.1e-30 GTP-binding protein LepA
  IKKOIBFM_00007      K06207  327.77   97.5   4.8e-29 GTP-binding protein
  IKKOIBFM_00007      K03234  891.60   89.3   1.3e-26 elongation factor 2
  IKKOIBFM_00007      K03833  319.47   42.6   3.2e-12 selenocysteine-specific elongation factor
  IKKOIBFM_00007      K02519  320.17   39.5   2.1e-11 translation initiation factor IF-2
  IKKOIBFM_00007      K03231  462.87   38.6   4.6e-11 elongation factor 1-alpha
  IKKOIBFM_00007      K02358  343.50   34.0   1.2e-09 elongation factor Tu
  IKKOIBFM_00007      K03595  147.93   28.9   4.2e-08 GTPase
  IKKOIBFM_00007      K00955  740.83   27.1   1.4e-07 bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
  IKKOIBFM_00007      K03243  227.80   24.7   4.6e-07 translation initiation factor 5B
  IKKOIBFM_00007      K03977  241.47   17.4   0.00012 GTPase
  IKKOIBFM_00007      K00956  528.60   14.8   0.00075 sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
* IKKOIBFM_00008      K00208  262.73  401.8  2.1e-121 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
