SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
HOLGGCEK_00063	1	1041	+	(waaQ)	1-1041/1041	0/0	100.0	97.5	VFDB	VFG013299(gb|NP_438681)	[LOS_(CVF494)]	 VFG013299(gb|NP_438681) (waaQ) heptosyltransferase-like protein [LOS (CVF494)]
HOLGGCEK_00229	1	1017	+	(galE)	1-1017/1017	0/0	100.0	98.82	VFDB	VFG013286(gb|NP_438515)	[LOS_(CVF494)]	 VFG013286(gb|NP_438515) (galE) UDP-glucose 4-epimerase [LOS (CVF494)]
HOLGGCEK_00307	1	1656	+	(lpt6)	1-1656/1656	2/2	99.94	96.56	VFDB	VFG013281(gb|NP_438444)	[LOS_(CVF494)]	 VFG013281(gb|NP_438444) (lpt6) phosphoethanolamine (Petn) transferase [LOS (CVF494)]
HOLGGCEK_00324	1	2751	+	(hxuA)	1-2718/2718	39/83	99.08	90.89	VFDB	VFG000340(gb|NP_438433)	[HxuABC_(VF0269)]	 VFG000340(gb|NP_438433) (hxuA) heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein  [HxuABC (VF0269)]
HOLGGCEK_00325	1	1695	+	(hxuB)	1-1698/1698	2/3	99.82	95.76	VFDB	VFG000341(gb|NP_438432)	[HxuABC_(VF0269)]	 VFG000341(gb|NP_438432) (hxuB) heme-hemopexin utilization protein B HxuB, two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HxuABC (VF0269)]
HOLGGCEK_00326	1	2154	+	(hxuC)	1-2172/2172	14/20	99.13	95.63	VFDB	VFG000348(gb|NP_438431)	[HxuABC_(VF0269)]	 VFG000348(gb|NP_438431) (hxuC) heme-hemopexin utilization protein C, haem receptor [HxuABC (VF0269)]
HOLGGCEK_00327	1	1044	+	(opsX/rfaC)	1-1044/1044	0/0	100.0	95.11	VFDB	VFG013276(gb|NP_438430)	[LOS_(CVF494)]	 VFG013276(gb|NP_438430) (opsX/rfaC) heptosyltransferase I  [LOS (CVF494)]
HOLGGCEK_00328	1	726	+	(kdkA)	1-726/726	0/0	100.0	97.8	VFDB	VFG013271(gb|NP_438429)	[LOS_(CVF494)]	 VFG013271(gb|NP_438429) (kdkA) 3-deoxy-D-manno-octulosonic-acid kinase [LOS (CVF494)]
HOLGGCEK_00329	1	588	+	(orfM)	1-588/588	0/0	100.0	95.92	VFDB	VFG013265(gb|NP_438428)	[LOS_(CVF494)]	 VFG013265(gb|NP_438428) (orfM) deoxyribonucleotide triphosphate pyrophosphatase [LOS (CVF494)]
HOLGGCEK_00330	1	880	+	(lgtC)	115-993/993	1/1	88.52	97.95	VFDB	VFG013260(gb|NP_438427)	[LOS_(CVF494)]	 VFG013260(gb|NP_438427) (lgtC) glycosyltransferase [LOS (CVF494)]
HOLGGCEK_00444	1	957	+	(msbB)	1-957/957	0/0	100.0	97.6	VFDB	VFG013254(gb|NP_438368)	[LOS_(CVF494)]	 VFG013254(gb|NP_438368) (msbB) lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase [LOS (CVF494)]
