qseqid	qstart	qend	qlen	sseqid	sstart	send	slen	evalue	length	pident	gaps	gapopen	stitle
IIBCLGFB_00066	4	145	145	victors~~~RNA_polymerase-binding_transcription_factor~~~NP_706093.2~~~Victors_56479612	10	151	151	1.23e-75	142	75.4	0	0	victors~~~RNA_polymerase-binding_transcription_factor~~~NP_706093.2~~~Victors_56479612 gi|56479612|ref|NP_706093.2| RNA polymerase-binding transcription factor [Shigella flexneri 2a str. 301]
IIBCLGFB_00072	3	303	311	victors~~~tRNA_delta(2)-isopentenylpyrophosphate_transferase~~~YP_410535.1~~~Victors_82546588	10	309	316	2.65e-158	301	69.4	1	1	victors~~~tRNA_delta(2)-isopentenylpyrophosphate_transferase~~~YP_410535.1~~~Victors_82546588 gi|82546588|ref|YP_410535.1| tRNA delta(2)-isopentenylpyrophosphate transferase [Shigella boydii Sb227]
IIBCLGFB_00162	1	423	425	victors~~~threonine_synthase~~~YP_001652520.1~~~Victors_165976927	1	423	426	8.26e-267	423	85.6	0	0	victors~~~threonine_synthase~~~YP_001652520.1~~~Victors_165976927 gi|165976927|ref|YP_001652520.1| threonine synthase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00178	1	626	626	victors~~~heat_shock_protein_90~~~YP_001652006.1~~~Victors_165976413	1	625	625	0.0	627	82.5	3	2	victors~~~heat_shock_protein_90~~~YP_001652006.1~~~Victors_165976413 gi|165976413|ref|YP_001652006.1| heat shock protein 90 [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
IIBCLGFB_00223	1	365	365	victors~~~outer_membrane_protein_P2~~~YP_247859.1~~~Victors_68248747	1	365	365	2.95e-266	365	100	0	0	victors~~~outer_membrane_protein_P2~~~YP_247859.1~~~Victors_68248747 gi|68248747|ref|YP_247859.1| outer membrane protein P2 [Haemophilus influenzae 86-028NP]
IIBCLGFB_00239	1	241	242	victors~~~3-ketoacyl-ACP_reductase~~~YP_001217548.1~~~Victors_147675453	7	247	248	4.85e-113	241	68.5	0	0	victors~~~3-ketoacyl-ACP_reductase~~~YP_001217548.1~~~Victors_147675453 gi|147675453|ref|YP_001217548.1| 3-ketoacyl-ACP reductase [Vibrio cholerae O395]
IIBCLGFB_00242	1	56	56	victors~~~50S_ribosomal_protein_L32~~~YP_001054075.1~~~Victors_126208850	1	56	56	1.78e-35	56	96.4	0	0	victors~~~50S_ribosomal_protein_L32~~~YP_001054075.1~~~Victors_126208850 gi|126208850|ref|YP_001054075.1| 50S ribosomal protein L32 [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00248	1	447	447	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_A~~~YP_001052863.1~~~Victors_126207638	1	449	449	7.74e-258	449	77.7	2	2	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_A~~~YP_001052863.1~~~Victors_126207638 gi|126207638|ref|YP_001052863.1| Na(+)-translocating NADH-quinone reductase subunit A [Actinobacillus pleuropneumoniae serovar 5b str. L20]
IIBCLGFB_00249	1	411	411	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_B~~~NP_251688.1~~~Victors_15598194	1	403	403	2.72e-181	413	62.0	12	7	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_B~~~NP_251688.1~~~Victors_15598194 gi|15598194|ref|NP_251688.1| Na(+)-translocating NADH-quinone reductase subunit B [Pseudomonas aeruginosa PAO1]
IIBCLGFB_00252	1	198	198	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_E~~~YP_001217804.1~~~Victors_147674521	1	198	198	1.45e-112	198	82.3	0	0	victors~~~Na(+)-translocating_NADH-quinone_reductase_subunit_E~~~YP_001217804.1~~~Victors_147674521 gi|147674521|ref|YP_001217804.1| Na(+)-translocating NADH-quinone reductase subunit E [Vibrio cholerae O395]
