SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PHAST_ID	DESCRIPTION
EJFNJEFF_00044	1	629	+	RNA_polymerase_sigma_factor	1-613/613	3/16	100.0	68.7	phast	YP_009882596.1	PHAST_100040	PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100040|ref|YP_009882596.1| RNA polymerase sigma factor [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00046	1	71	+	30S_ribosomal_protein_S21	1-71/71	0/0	100.0	76.1	phast	YP_009882598.1	PHAST_100042	PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100042|ref|YP_009882598.1| 30S ribosomal protein S21 [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00047	1	341	+	tRNA_(adenosine(37)_N6)_threonylcarbamoyltransferase_complex_transferase_subunit	1-336/337	2/5	99.7	73.9	phast	YP_009882599.1	PHAST_100043	PHAGE_Klebsi_ST147_VIM1phi7.1_NC_049451-gi|100043|ref|YP_009882599.1| tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit [Klebsiella phage ST147-VIM1phi7.1]
EJFNJEFF_00078	1	444	+	molecular_chaperone_and_ATPase_component_of_HslUV_protease	1-443/443	1/1	100.0	80.6	phast	NP_418366.1	PHAST_16131769	PROPHAGE_Escher_MG1655-gi|16131769|ref|NP_418366.1| molecular chaperone and ATPase component of HslUV protease [Escherichia coli str. K-12 substr. MG1655]
EJFNJEFF_00079	1	173	+	peptidase_component_of_the_HslUV_protease	1-172/176	1/1	97.73	80.3	phast	NP_418367.1	PHAST_16131770	PROPHAGE_Escher_MG1655-gi|16131770|ref|NP_418367.1| peptidase component of the HslUV protease [Escherichia coli str. K-12 substr. MG1655]
EJFNJEFF_00334	3	116	+	single_stranded_DNA_binding_protein	5-121/175	1/3	65.14	67.5	phast	YP_009812580.1	PHAST_100033	PHAGE_Escher_C130_2_NC_048067-gi|100033|ref|YP_009812580.1| single-stranded DNA-binding protein [Escherichia phage C130_2]
EJFNJEFF_00491	1	320	+	signal_recognition_particle_protein	1-320/321	0/0	99.69	84.7	phast	YP_009949256.1	PHAST_100057	PHAGE_Escher_500465_1_NC_049342-gi|100057|ref|YP_009949256.1| signal recognition particle protein [Escherichia phage 500465-1]
EJFNJEFF_00515	1	337	+	integrase	1-337/337	0/0	100.0	100.0	phast	NP_536807.1	PHAST_17981816	PHAGE_Haemop_HP2_NC_003315-gi|17981816|ref|NP_536807.1| integrase [Haemophilus phage HP2]
EJFNJEFF_00516	1	254	+	hypothetical_protein	1-254/254	0/0	100.0	100.0	phast	NP_536808.1	PHAST_17981817	PHAGE_Haemop_HP2_NC_003315-gi|17981817|ref|NP_536808.1| hypothetical protein [Haemophilus phage HP2]
EJFNJEFF_00518	1	191	+	cI_repressor	1-191/191	0/0	100.0	100.0	phast	NP_536809.1	PHAST_17981818	PHAGE_Haemop_HP2_NC_003315-gi|17981818|ref|NP_536809.1| cI repressor [Haemophilus phage HP2]
EJFNJEFF_00519	1	70	+	orf2(S)cox	1-70/70	0/0	100.0	100.0	phast	NP_536810.1	PHAST_17981819	PHAGE_Haemop_HP2_NC_003315-gi|17981819|ref|NP_536810.1| orf2(S)cox [Haemophilus phage HP2]
EJFNJEFF_00520	1	167	+	hypothetical_protein	1-167/167	0/0	100.0	100.0	phast	NP_536811.1	PHAST_17981820	PHAGE_Haemop_HP2_NC_003315-gi|17981820|ref|NP_536811.1| hypothetical protein [Haemophilus phage HP2]
EJFNJEFF_00521	1	122	+	hypothetical_protein	1-122/122	0/0	100.0	100.0	phast	NP_536812.1	PHAST_17981821	PHAGE_Haemop_HP2_NC_003315-gi|17981821|ref|NP_536812.1| hypothetical protein [Haemophilus phage HP2]
