SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
IKKOIBFM_00021	1	1068	+	(wecA)	1-1068/1068	0/0	100.0	99.81	VFDB	VFG013508(gb|NP_439858)	[LOS_(CVF494)]	 VFG013508(gb|NP_439858) (wecA) undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase [LOS (CVF494)]
IKKOIBFM_00039	1	1206	+	(lsgA)	1-1206/1206	0/0	100.0	98.42	VFDB	VFG013503(gb|NP_439842)	[LOS_(CVF494)]	 VFG013503(gb|NP_439842) (lsgA) lipopolysaccharide biosynthesis transporter [LOS (CVF494)]
IKKOIBFM_00040	1	915	+	(lsgB)	1-915/915	0/0	100.0	98.03	VFDB	VFG013500(gb|NP_439841)	[LOS_(CVF494)]	 VFG013500(gb|NP_439841) (lsgB) sialyltransferase [LOS (CVF494)]
IKKOIBFM_00041	1	1062	+	(lsgC)	1-1062/1062	0/0	100.0	95.86	VFDB	VFG013496(gb|NP_439840)	[LOS_(CVF494)]	 VFG013496(gb|NP_439840) (lsgC) glycosyltransferase [LOS (CVF494)]
IKKOIBFM_00042	1	774	+	(lsgD)	1-774/774	0/0	100.0	94.7	VFDB	VFG013491(gb|NP_439839)	[LOS_(CVF494)]	 VFG013491(gb|NP_439839) (lsgD) glycosyltransferase [LOS (CVF494)]
IKKOIBFM_00043	1	885	+	(lsgE)	1-885/885	2/2	99.89	94.69	VFDB	VFG013487(gb|NP_439838)	[LOS_(CVF494)]	 VFG013487(gb|NP_439838) (lsgE) glycosyltransferase [LOS (CVF494)]
IKKOIBFM_00044	19	804	+	(lsgF)	1-786/786	0/0	100.0	97.58	VFDB	VFG013482(gb|NP_439837)	[LOS_(CVF494)]	 VFG013482(gb|NP_439837) (lsgF) glycosyltransferase [LOS (CVF494)]
IKKOIBFM_00060	1	1953	+	(hmw2C)	1-1953/1953	0/0	100.0	96.83	VFDB	VFG001156(gb|AAA20526)	[HMW1/HMW2_(VF0038)]	 VFG001156(gb|AAA20526) (hmw2C) glycosyltransferase [HMW1/HMW2 (VF0038)]
IKKOIBFM_00061	1	1638	+	(hmw2B)	1-1638/1638	0/0	100.0	96.89	VFDB	VFG001155(gb|AAA20525)	[HMW1/HMW2_(VF0038)]	 VFG001155(gb|AAA20525) (hmw2B) two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HMW1/HMW2 (VF0038)]
IKKOIBFM_00078	1	972	+	(lgtA)	1-972/972	0/0	100.0	98.35	VFDB	VFG013471(gb|NP_439724)	[LOS_(CVF494)]	 VFG013471(gb|NP_439724) (lgtA) N-acetylglucosamine glycosyltransferase  [LOS (CVF494)]
IKKOIBFM_00099	1	855	+	(kdsA)	1-855/855	0/0	100.0	99.42	VFDB	VFG013465(gb|NP_439706)	[LOS_(CVF494)]	 VFG013465(gb|NP_439706) (kdsA) 2-dehydro-3-deoxyphosphooctonate aldolase [LOS (CVF494)]
IKKOIBFM_00116	1	798	+	(licD)	1-798/798	0/0	100.0	97.74	VFDB	VFG000329(gb|NP_439689)	[LOS_(VF0044)]	 VFG000329(gb|NP_439689) (licD) phosphocholine transferase [LOS (VF0044)]
IKKOIBFM_00117	1	702	+	(licC)	1-702/702	0/0	100.0	96.44	VFDB	VFG000328(gb|NP_439688)	[LOS_(VF0044)]	 VFG000328(gb|NP_439688) (licC) phosphocholine cytidyltransferase [LOS (VF0044)]
IKKOIBFM_00118	1	879	+	(licB)	1-879/879	0/0	100.0	98.64	VFDB	VFG000327(gb|NP_439687)	[LOS_(VF0044)]	 VFG000327(gb|NP_439687) (licB) choline permease [LOS (VF0044)]
IKKOIBFM_00119	1	804	+	(licA)	1-804/804	0/0	100.0	98.63	VFDB	VFG000326(gb|NP_439686)	[LOS_(VF0044)]	 VFG000326(gb|NP_439686) (licA) choline kinase [LOS (VF0044)]
IKKOIBFM_00127	1	936	+	(htrB)	1-936/936	0/0	100.0	95.08	VFDB	VFG013436(gb|NP_439676)	[LOS_(CVF494)]	 VFG013436(gb|NP_439676) (htrB) lipid A biosynthesis lauroyl acyltransferase [LOS (CVF494)]
IKKOIBFM_00128	1	1431	+	(rfaE)	1-1431/1431	0/0	100.0	96.86	VFDB	VFG000331(gb|NP_439675)	[LOS_(VF0044)]	 VFG000331(gb|NP_439675) (rfaE) ADP-heptose synthase [LOS (VF0044)]
