SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	VICTORS_ID	DESCRIPTION
HFACCJHN_00060	4	145	+	RNA_polymerase-binding_transcription_factor	10-151/151	0/0	94.04	75.4	victors	NP_706093.2	Victors_56479612	gi|56479612|ref|NP_706093.2| RNA polymerase-binding transcription factor [Shigella flexneri 2a str. 301]
HFACCJHN_00066	1	295	+	tRNA_delta(2)-isopentenylpyrophosphate_transferase	1-294/301	1/1	97.67	69.5	victors	YP_691609.1	Victors_110808089	gi|110808089|ref|YP_691609.1| tRNA delta(2)-isopentenylpyrophosphate transferase [Shigella flexneri 5 str. 8401]
HFACCJHN_00088	1	423	+	threonine_synthase	1-423/426	0/0	99.3	86.1	victors	YP_001652520.1	Victors_165976927	gi|165976927|ref|YP_001652520.1| threonine synthase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_00105	1	626	+	heat_shock_protein_90	1-625/625	2/3	99.84	82.5	victors	YP_001652006.1	Victors_165976413	gi|165976413|ref|YP_001652006.1| heat shock protein 90 [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_00140	3	464	+	isopropylmalate_isomerase_large_subunit	5-466/469	2/2	98.29	63.1	victors	NP_698884.1	Victors_23502757	gi|23502757|ref|NP_698884.1| isopropylmalate isomerase large subunit [Brucella suis 1330]
HFACCJHN_00147	1	159	+	SsrA-binding_protein	1-160/160	1/1	99.38	78.1	victors	YP_002346144.1	Victors_218928269	gi|218928269|ref|YP_002346144.1| SsrA-binding protein [Yersinia pestis CO92]
HFACCJHN_00159	6	148	+	3-dehydroquinate_dehydratase	3-145/154	0/0	92.86	67.8	victors	YP_001054549.1	Victors_126209324	gi|126209324|ref|YP_001054549.1| 3-dehydroquinate dehydratase [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00171	21	224	+	cAMP-activated_global_transcriptional_regulator	7-210/210	0/0	97.14	77.5	victors	NP_462369.1	Victors_16766754	gi|16766754|ref|NP_462369.1| cAMP-activated global transcriptional regulator [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00201	1	508	+	catalase	1-508/508	0/0	100.0	99.0	victors	NP_439088.1	Victors_16272865	gi|16272865|ref|NP_439088.1| catalase [Haemophilus influenzae Rd KW20]
HFACCJHN_00246	1	419	+	serine_hydroxymethyltransferase	20-434/435	2/4	95.4	72.8	victors	YP_002809666.1	Victors_227081115	gi|227081115|ref|YP_002809666.1| serine hydroxymethyltransferase [Vibrio cholerae M66-2]
HFACCJHN_00247	1	429	+	phosphoribosylamine--glycine_ligase	1-429/429	0/0	100.0	76.7	victors	YP_001218530.1	Victors_147673352	gi|147673352|ref|YP_001218530.1| phosphoribosylamine--glycine ligase [Vibrio cholerae O395]
HFACCJHN_00248	4	532	+	bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase	5-529/529	1/4	99.24	77.7	victors	YP_002348608.1	Victors_218930733	gi|218930733|ref|YP_002348608.1| bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase [Yersinia pestis CO92]
HFACCJHN_00252	1	236	+	two-component_response_regulator	1-238/238	1/2	99.16	77.7	victors	YP_001052761.1	Victors_126207536	gi|126207536|ref|YP_001052761.1| two-component response regulator [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00257	1	82	+	50S_ribosomal_protein_L27	1-82/84	0/0	97.62	70.7	victors	YP_514107.1	Victors_89256745	gi|89256745|ref|YP_514107.1| 50S ribosomal protein L27 [Francisella tularensis subsp. holarctica LVS]
HFACCJHN_00263	1	334	+	dTDP-glucose-4,6-dehydratase	1-338/361	2/12	91.41	64.0	victors	NP_461042.1	Victors_16765427	gi|16765427|ref|NP_461042.1| dTDP-glucose-4,6-dehydratase [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00270	1	472	+	glutamine_synthetase	1-468/469	2/4	99.79	61.7	victors	NP_698011.1	Victors_23501884	gi|23501884|ref|NP_698011.1| glutamine synthetase [Brucella suis 1330]
HFACCJHN_00271	7	610	+	GTP_binding_translational_elongation_factor_Tu_and_G_family_protein	2-604/605	1/1	99.67	69.2	victors	YP_513513.1	Victors_89256151	gi|89256151|ref|YP_513513.1| GTP binding translational elongation factor Tu and G family protein [Francisella tularensis subsp. holarctica LVS]
HFACCJHN_00276	9	751	+	hypothetical_protein_SF4334	15-758/827	1/1	89.84	66.8	victors	NP_710044.3	Victors_344915383	gi|344915383|ref|NP_710044.3| hypothetical protein SF4334 [Shigella flexneri 2a str. 301]
HFACCJHN_00278	1	856	+	chaperone_protein_ClpB	1-857/857	1/1	99.88	76.8	victors	NP_461591.1	Victors_16765976	gi|16765976|ref|NP_461591.1| chaperone protein ClpB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
HFACCJHN_00291	1	205	+	thiol:disulfide_interchange_protein_DsbA	1-205/205	0/0	100.0	97.6	victors	YP_248552.1	Victors_68249440	gi|68249440|ref|YP_248552.1| thiol:disulfide interchange protein DsbA [Haemophilus influenzae 86-028NP]
HFACCJHN_00313	10	506	+	galactose/methyl_galaxtoside_transporter_ATP-binding_protein	3-499/499	0/0	99.6	89.7	victors	YP_001054108.1	Victors_126208883	gi|126208883|ref|YP_001054108.1| galactose/methyl galaxtoside transporter ATP-binding protein [Actinobacillus pleuropneumoniae serovar 5b str. L20]
HFACCJHN_00325	1	295	+	UTP-glucose-1-phosphate_uridylyltransferase	1-295/295	0/0	100.0	83.1	victors	YP_001651654.1	Victors_165976061	gi|165976061|ref|YP_001651654.1| UTP-glucose-1-phosphate uridylyltransferase [Actinobacillus pleuropneumoniae serovar 3 str. JL03]
HFACCJHN_00335	1	128	+	50S_ribosomal_protein_L17	1-145/145	1/17	88.28	60.0	victors	YP_169400.1	Victors_56707504	gi|56707504|ref|YP_169400.1| 50S ribosomal protein L17 [Francisella tularensis subsp. tularensis SCHU S4]
HFACCJHN_00340	1	37	+	50S_ribosomal_protein_L36	1-37/37	0/0	100.0	81.1	victors	YP_513052.1	Victors_89255691	gi|89255691|ref|YP_513052.1| 50S ribosomal protein L36 [Francisella tularensis subsp. holarctica LVS]
HFACCJHN_00383	3	1297	+	phosphoribosylformylglycinamidine_synthase	1-1296/1297	1/1	99.85	69.2	victors	YP_001216350.1	Victors_147673351	gi|147673351|ref|YP_001216350.1| phosphoribosylformylglycinamidine synthase [Vibrio cholerae O395]
HFACCJHN_00395	3	1159	+	DNA_polymerase_III_subunit_alpha	13-1171/1171	2/2	98.8	71.3	victors	NP_670419.1	Victors_22126996	gi|22126996|ref|NP_670419.1| DNA polymerase III subunit alpha [Yersinia pestis KIM10+]
HFACCJHN_00397	1	612	+	dihydroxy-acid_dehydratase	1-612/613	0/0	99.84	80.2	victors	YP_001218384.1	Victors_147675499	gi|147675499|ref|YP_001218384.1| dihydroxy-acid dehydratase [Vibrio cholerae O395]
HFACCJHN_00409	1	415	+	diaminopimelate_decarboxylase	1-415/417	2/2	99.28	63.2	victors	YP_001218294.1	Victors_147674363	gi|147674363|ref|YP_001218294.1| diaminopimelate decarboxylase [Vibrio cholerae O395]
HFACCJHN_00506	6	325	+	recombinase_A	15-335/361	1/1	88.64	70.1	victors	NP_698206.1	Victors_23502079	gi|23502079|ref|NP_698206.1| recombinase A [Brucella suis 1330]
HFACCJHN_00515	21	958	+	hemoglobin-binding_protein	70-1010/1010	6/13	92.38	87.9	victors	NP_438821.1	Victors_16272604	gi|16272604|ref|NP_438821.1| hemoglobin-binding protein [Haemophilus influenzae Rd KW20]
HFACCJHN_00516	1	115	+	hypothetical_protein_SP_1143	1-115/121	0/0	95.04	64.3	victors	NP_345613.1	Victors_15901009	gi|15901009|ref|NP_345613.1| hypothetical protein SP_1143 [Streptococcus pneumoniae TIGR4]
