# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* BNDDHPLM_00001      K02313  126.30  599.1  8.3e-181 chromosomal replication initiator protein
  BNDDHPLM_00001      K10763  174.07  128.2   3.1e-38 DnaA-homolog protein
  BNDDHPLM_00001      K02315  143.60   80.2   1.2e-23 DNA replication protein DnaC
  BNDDHPLM_00001      K11144  153.13   48.2     1e-13 primosomal protein DnaI
  BNDDHPLM_00001      K13525  810.53   28.4   5.5e-08 transitional endoplasmic reticulum ATPase
  BNDDHPLM_00001      K10762  397.40   21.7   1.1e-05 putative replication protein
  BNDDHPLM_00001      K06916  417.00   19.9   2.9e-05 cell division protein ZapE
  BNDDHPLM_00001      K02340   99.77   15.2   0.00099 DNA polymerase III subunit delta [EC:2.7.7.7]
  BNDDHPLM_00001      K18798  474.37   14.6     0.001 peroxisome-assembly ATPase [EC:3.6.4.7]
  BNDDHPLM_00001      K06925   62.83   12.9    0.0068 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
  BNDDHPLM_00001      K03551  169.53   12.3     0.005 holliday junction DNA helicase RuvB [EC:3.6.4.12]
  BNDDHPLM_00001      K04800  300.40   10.2     0.022 replication factor C large subunit
* BNDDHPLM_00002      K02338   49.27  391.8  6.3e-118 DNA polymerase III subunit beta [EC:2.7.7.7]
* BNDDHPLM_00003      K03629  116.43  352.3  3.5e-106 DNA replication and repair protein RecF
  BNDDHPLM_00003      K07459  139.47   53.0   1.9e-15 putative ATP-dependent endonuclease of the OLD family
  BNDDHPLM_00003      K03546  166.57   29.8   2.2e-08 DNA repair protein SbcC/Rad50
  BNDDHPLM_00003      K19171  178.13   24.2   1.1e-06 DNA sulfur modification protein DndD
  BNDDHPLM_00003      K06926   96.60   21.7   7.5e-06 uncharacterized protein
  BNDDHPLM_00003      K22803  385.90   19.9   1.5e-05 structural maintenance of chromosomes protein 5
  BNDDHPLM_00003      K15497  378.10   17.8   0.00017 molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]
  BNDDHPLM_00003      K02013  257.90   16.2   0.00035 iron complex transport system ATP-binding protein [EC:7.2.2.-]
  BNDDHPLM_00003      K16917  222.10   16.0   0.00076 putative peptide transport system ATP-binding protein
  BNDDHPLM_00003      K03631  138.60   15.9   0.00034 DNA repair protein RecN (Recombination protein N)
  BNDDHPLM_00003      K16784  271.17   15.6   0.00065 biotin transport system ATP-binding protein [EC:7.6.2.-]
  BNDDHPLM_00003      K02074  282.47   15.4   0.00084 zinc/manganese transport system ATP-binding protein
  BNDDHPLM_00003      K19340  298.10   15.2   0.00082 Cu-processing system ATP-binding protein
  BNDDHPLM_00003      K03529  565.80   15.1   0.00033 chromosome segregation protein
  BNDDHPLM_00003      K09812  292.07   14.6    0.0014 cell division transport system ATP-binding protein
  BNDDHPLM_00003      K06160  581.33   14.6   0.00078 putative pyoverdin transport system ATP-binding/permease protein
  BNDDHPLM_00003      K19973  340.30   14.6    0.0014 manganese transport system ATP-binding protein [EC:7.2.2.5]
  BNDDHPLM_00003      K19349  649.47   13.9    0.0012 pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein
