SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
HFACCJHN_00056	1	744	+	(kdsB)	1-744/765	0/0	97.25	95.97	VFDB	VFG013236(gb|NP_438231)	[LOS_(CVF494)]	 VFG013236(gb|NP_438231) (kdsB) 3-deoxy-manno-octulosonate cytidylyltransferase [LOS (CVF494)]
HFACCJHN_00057	1	999	+	(lpxK)	1-999/999	0/0	100.0	94.49	VFDB	VFG013242(gb|NP_438232)	[LOS_(CVF494)]	 VFG013242(gb|NP_438232) (lpxK) tetraacyldisaccharide 4'-kinase [LOS (CVF494)]
HFACCJHN_00058	1	1764	+	(msbA)	1-1764/1764	0/0	100.0	98.41	VFDB	VFG013248(gb|NP_438233)	[LOS_(CVF494)]	 VFG013248(gb|NP_438233) (msbA) lipid transporter ATP-binding/permease [LOS (CVF494)]
HFACCJHN_00101	16	1065	+	(hitC)	1-1050/1056	0/0	99.43	99.24	VFDB	VFG000344(gb|NP_438273)	[HitABC_(VF0268)]	 VFG000344(gb|NP_438273) (hitC) iron(III) ABC transporter, ATP-binding protein [HitABC (VF0268)]
HFACCJHN_00134	1	2748	+	(tbpA)	1-2739/2739	13/21	99.78	95.32	VFDB	VFG000338(gb|NP_439157)	[Tbp_(VF0267)]	 VFG000338(gb|NP_439157) (tbpA) transferrin-binding protein 1 precursor [Tbp (VF0267)]
HFACCJHN_00221	1	1026	+	(lpxD)	1-1026/1026	0/0	100.0	97.66	VFDB	VFG013374(gb|NP_439075)	[LOS_(CVF494)]	 VFG013374(gb|NP_439075) (lpxD) UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [LOS (CVF494)]
HFACCJHN_00263	1	1003	+	(rffG)	1-1003/1014	0/0	98.92	90.83	VFDB	VFG013368(gb|NP_439034)	[LOS_(CVF494)]	 VFG013368(gb|NP_439034) (rffG) dTDP-glucose 46-dehydratase [LOS (CVF494)]
HFACCJHN_00264	1	1413	+	(wbaP/rfbP)	1-1416/1416	1/3	99.79	92.66	VFDB	VFG013365(gb|NP_439033)	[LOS_(CVF494)]	 VFG013365(gb|NP_439033) (wbaP/rfbP) undecaprenyl-phosphate galactosephosphotransferase [LOS (CVF494)]
HFACCJHN_00268	1	753	+	(kfiC)	1-753/753	0/0	100.0	99.47	VFDB	VFG013354(gb|NP_439028)	[LOS_(CVF494)]	 VFG013354(gb|NP_439028) (kfiC) lipopolysaccharide biosynthesis protein [LOS (CVF494)]
HFACCJHN_00325	1	888	+	(galU)	1-888/888	0/0	100.0	99.32	VFDB	VFG013346(gb|NP_438972)	[LOS_(CVF494)]	 VFG013346(gb|NP_438972) (galU) glucosephosphate uridylyltransferase [LOS (CVF494)]
HFACCJHN_00394	1	1653	+	(yhxB/manB)	1-1653/1653	0/0	100.0	98.06	VFDB	VFG013327(gb|NP_438900)	[LOS_(CVF494)]	 VFG013327(gb|NP_438900) (yhxB/manB) phosphomannomutase [LOS (CVF494)]
HFACCJHN_00401	1	714	+	(lpxH)	1-714/714	0/0	100.0	97.34	VFDB	VFG013321(gb|NP_438894)	[LOS_(CVF494)]	 VFG013321(gb|NP_438894) (lpxH) UDP-2,3-diacylglucosamine pyrophosphohydrolase [LOS (CVF494)]
HFACCJHN_00524	1	765	+	(lgtF)	1-765/765	0/0	100.0	95.95	VFDB	VFG013315(gb|NP_438813)	[LOS_(CVF494)]	 VFG013315(gb|NP_438813) (lgtF) beta-1,4-glucosyltransferase [LOS (CVF494)]
HFACCJHN_00525	1	1284	+	(kdtA)	1-1284/1284	11/14	99.45	94.27	VFDB	VFG000330(gb|NP_438812)	[LOS_(VF0044)]	 VFG000330(gb|NP_438812) (kdtA) 3-deoxy-d-manno-octulosonic-acid transferase [LOS (VF0044)]
HFACCJHN_00550	1	1179	+	(tufA)	1-1179/1185	30/34	98.06	76.0	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
HFACCJHN_00636	1	1179	+	(tufA)	1-1179/1185	30/34	98.06	76.09	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
HFACCJHN_00664	119	873	+	(lic2A)	155-909/909	0/0	83.06	99.47	VFDB	VFG000333(gb|NP_438708)	[LOS_(VF0044)]	 VFG000333(gb|NP_438708) (lic2A) glycosyltransferase [LOS (VF0044)]
HFACCJHN_00693	1	1041	+	(waaQ)	1-1041/1041	0/0	100.0	96.45	VFDB	VFG013299(gb|NP_438681)	[LOS_(CVF494)]	 VFG013299(gb|NP_438681) (waaQ) heptosyltransferase-like protein [LOS (CVF494)]
HFACCJHN_00932	1	1017	+	(galE)	1-1017/1017	0/0	100.0	97.84	VFDB	VFG013286(gb|NP_438515)	[LOS_(CVF494)]	 VFG013286(gb|NP_438515) (galE) UDP-glucose 4-epimerase [LOS (CVF494)]
HFACCJHN_01008	1	1656	+	(lpt6)	1-1656/1656	0/0	100.0	96.8	VFDB	VFG013281(gb|NP_438444)	[LOS_(CVF494)]	 VFG013281(gb|NP_438444) (lpt6) phosphoethanolamine (Petn) transferase [LOS (CVF494)]
HFACCJHN_01025	439	2760	+	(hxuA)	409-2718/2718	7/18	84.88	93.72	VFDB	VFG000340(gb|NP_438433)	[HxuABC_(VF0269)]	 VFG000340(gb|NP_438433) (hxuA) heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein  [HxuABC (VF0269)]
HFACCJHN_01026	1	1698	+	(hxuB)	1-1698/1698	0/0	100.0	98.59	VFDB	VFG000341(gb|NP_438432)	[HxuABC_(VF0269)]	 VFG000341(gb|NP_438432) (hxuB) heme-hemopexin utilization protein B HxuB, two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HxuABC (VF0269)]
HFACCJHN_01027	1	2166	+	(hxuC)	1-2172/2172	8/8	99.68	97.56	VFDB	VFG000348(gb|NP_438431)	[HxuABC_(VF0269)]	 VFG000348(gb|NP_438431) (hxuC) heme-hemopexin utilization protein C, haem receptor [HxuABC (VF0269)]
HFACCJHN_01028	1	1044	+	(opsX/rfaC)	1-1044/1044	0/0	100.0	95.98	VFDB	VFG013276(gb|NP_438430)	[LOS_(CVF494)]	 VFG013276(gb|NP_438430) (opsX/rfaC) heptosyltransferase I  [LOS (CVF494)]
HFACCJHN_01029	1	729	+	(kdkA)	1-726/726	2/3	100.0	94.79	VFDB	VFG013271(gb|NP_438429)	[LOS_(CVF494)]	 VFG013271(gb|NP_438429) (kdkA) 3-deoxy-D-manno-octulosonic-acid kinase [LOS (CVF494)]
HFACCJHN_01030	1	588	+	(orfM)	1-588/588	0/0	100.0	95.92	VFDB	VFG013265(gb|NP_438428)	[LOS_(CVF494)]	 VFG013265(gb|NP_438428) (orfM) deoxyribonucleotide triphosphate pyrophosphatase [LOS (CVF494)]
HFACCJHN_01031	1	994	+	(lgtC)	1-993/993	1/1	100.0	98.69	VFDB	VFG013260(gb|NP_438427)	[LOS_(CVF494)]	 VFG013260(gb|NP_438427) (lgtC) glycosyltransferase [LOS (CVF494)]
