SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PHAST_ID	DESCRIPTION
OMBLIMKG_00021	25	127	+	Vs.6_conserved_hypothetical_protein	19-120/120	1/1	85.0	67.0	phast	YP_003858379.1	PHAST_304373634	PHAGE_Entero_RB16_NC_014467-gi|304373634|ref|YP_003858379.1| Vs.6 conserved hypothetical protein [Enterobacteria phage RB16]
OMBLIMKG_00085	1	533	+	orf35	1-533/533	0/0	100.0	98.7	phast	NP_536842.1	PHAST_17981851	PHAGE_Haemop_HP2_NC_003315-gi|17981851|ref|NP_536842.1| orf35 [Haemophilus phage HP2]
OMBLIMKG_00086	1	186	+	orf34	1-186/186	0/0	100.0	97.8	phast	NP_536841.1	PHAST_17981850	PHAGE_Haemop_HP2_NC_003315-gi|17981850|ref|NP_536841.1| orf34 [Haemophilus phage HP2]
OMBLIMKG_00087	1	255	+	orf33	1-255/255	0/0	100.0	98.8	phast	NP_536840.1	PHAST_17981849	PHAGE_Haemop_HP2_NC_003315-gi|17981849|ref|NP_536840.1| orf33 [Haemophilus phage HP2]
OMBLIMKG_00088	1	86	+	hypothetical_protein	1-85/86	1/1	98.84	74.4	phast	YP_003961.1	PHAST_45862234	PHAGE_Haemop_Aaphi23_NC_004827-gi|45862234|ref|YP_003961.1| hypothetical protein [Haemophilus phage Aaphi23]
OMBLIMKG_00092	1	814	+	hypothetical_protein	1-809/925	5/19	86.7	71.5	phast	NP_043502.1	PHAST_9628637	PHAGE_Haemop_HP1_NC_001697-gi|9628637|ref|NP_043502.1| hypothetical protein [Haemophilus phage HP1]
OMBLIMKG_00093	1	174	+	hypothetical_protein	1-174/174	0/0	100.0	97.7	phast	NP_043501.1	PHAST_9628636	PHAGE_Haemop_HP1_NC_001697-gi|9628636|ref|NP_043501.1| hypothetical protein [Haemophilus phage HP1]
OMBLIMKG_00094	8	389	+	orf29	1-382/382	0/0	100.0	92.7	phast	NP_536836.1	PHAST_17981845	PHAGE_Haemop_HP2_NC_003315-gi|17981845|ref|NP_536836.1| orf29 [Haemophilus phage HP2]
OMBLIMKG_00095	1	111	+	hypothetical_protein	1-111/111	0/0	100.0	95.5	phast	NP_043499.1	PHAST_9628634	PHAGE_Haemop_HP1_NC_001697-gi|9628634|ref|NP_043499.1| hypothetical protein [Haemophilus phage HP1]
OMBLIMKG_00096	1	758	+	orf27	1-709/709	2/49	100.0	76.6	phast	NP_536834.1	PHAST_17981843	PHAGE_Haemop_HP2_NC_003315-gi|17981843|ref|NP_536834.1| orf27 [Haemophilus phage HP2]
OMBLIMKG_00097	1	102	+	orf26	1-102/102	0/0	100.0	98.0	phast	NP_536833.1	PHAST_17981842	PHAGE_Haemop_HP2_NC_003315-gi|17981842|ref|NP_536833.1| orf26 [Haemophilus phage HP2]
