SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	VFDB_ID	PRODUCT	DESCRIPTION
DJPMMEHC_00008	1	2724	+	(hxuA)	1-2718/2718	17/38	99.41	92.7	VFDB	VFG000340(gb|NP_438433)	[HxuABC_(VF0269)]	 VFG000340(gb|NP_438433) (hxuA) heme-hemopexin utilization protein A, two-partner secretion (TPS) pathway TpsA protein, haem-haemopexin binding protein  [HxuABC (VF0269)]
DJPMMEHC_00009	1	1689	+	(hxuB)	7-1698/1698	2/3	99.47	96.57	VFDB	VFG000341(gb|NP_438432)	[HxuABC_(VF0269)]	 VFG000341(gb|NP_438432) (hxuB) heme-hemopexin utilization protein B HxuB, two-partner secretion (TPS) pathway TpsB outer membrane pore-forming translocator protein [HxuABC (VF0269)]
DJPMMEHC_00010	1	2154	+	(hxuC)	1-2172/2172	13/22	99.08	94.16	VFDB	VFG000348(gb|NP_438431)	[HxuABC_(VF0269)]	 VFG000348(gb|NP_438431) (hxuC) heme-hemopexin utilization protein C, haem receptor [HxuABC (VF0269)]
DJPMMEHC_00011	1	1044	+	(opsX/rfaC)	1-1044/1044	0/0	100.0	95.5	VFDB	VFG013276(gb|NP_438430)	[LOS_(CVF494)]	 VFG013276(gb|NP_438430) (opsX/rfaC) heptosyltransferase I  [LOS (CVF494)]
DJPMMEHC_00012	1	726	+	(kdkA)	1-726/726	0/0	100.0	98.35	VFDB	VFG013271(gb|NP_438429)	[LOS_(CVF494)]	 VFG013271(gb|NP_438429) (kdkA) 3-deoxy-D-manno-octulosonic-acid kinase [LOS (CVF494)]
DJPMMEHC_00013	1	588	+	(orfM)	1-588/588	0/0	100.0	97.79	VFDB	VFG013265(gb|NP_438428)	[LOS_(CVF494)]	 VFG013265(gb|NP_438428) (orfM) deoxyribonucleotide triphosphate pyrophosphatase [LOS (CVF494)]
DJPMMEHC_00072	1	645	+	(lic3A)	46-689/696	1/1	92.53	91.63	VFDB	VFG013292(gb|NP_438516)	[LOS_(CVF494)]	 VFG013292(gb|NP_438516) (lic3A) alpha-2,3-sialyltransferase [LOS (CVF494)]
DJPMMEHC_00093	2	1017	+	(galE)	2-1017/1017	0/0	99.9	96.26	VFDB	VFG013286(gb|NP_438515)	[LOS_(CVF494)]	 VFG013286(gb|NP_438515) (galE) UDP-glucose 4-epimerase [LOS (CVF494)]
DJPMMEHC_00153	1	1653	+	(yhxB/manB)	1-1653/1653	0/0	100.0	96.31	VFDB	VFG013327(gb|NP_438900)	[LOS_(CVF494)]	 VFG013327(gb|NP_438900) (yhxB/manB) phosphomannomutase [LOS (CVF494)]
DJPMMEHC_00162	1	714	+	(lpxH)	1-714/714	0/0	100.0	94.68	VFDB	VFG013321(gb|NP_438894)	[LOS_(CVF494)]	 VFG013321(gb|NP_438894) (lpxH) UDP-2,3-diacylglucosamine pyrophosphohydrolase [LOS (CVF494)]
DJPMMEHC_00196	119	873	+	(lic2A)	155-909/909	0/0	83.06	98.01	VFDB	VFG000333(gb|NP_438708)	[LOS_(VF0044)]	 VFG000333(gb|NP_438708) (lic2A) glycosyltransferase [LOS (VF0044)]
DJPMMEHC_00222	1	1185	+	(tufA)	1-1185/1185	28/32	98.65	76.44	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
DJPMMEHC_00267	1	1185	+	(tufA)	1-1185/1185	28/32	98.65	76.44	VFDB	VFG046465(gb|YP_169203.1)	[EF-Tu_(VF0460)]	 VFG046465(gb|YP_169203.1) (tufA) elongation factor Tu [EF-Tu (VF0460)]
DJPMMEHC_00292	1	1284	+	(kdtA)	1-1284/1284	0/0	100.0	97.51	VFDB	VFG000330(gb|NP_438812)	[LOS_(VF0044)]	 VFG000330(gb|NP_438812) (kdtA) 3-deoxy-d-manno-octulosonic-acid transferase [LOS (VF0044)]
