SEQUENCE	START	END	STRAND	GENE	COVERAGE	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PHAST_ID	DESCRIPTION
HFACCJHN_00023	25	127	+	Vs.6_conserved_hypothetical_protein	19-120/120	1/1	85.0	67.0	phast	YP_003858379.1	PHAST_304373634	PHAGE_Entero_RB16_NC_014467-gi|304373634|ref|YP_003858379.1| Vs.6 conserved hypothetical protein [Enterobacteria phage RB16]
HFACCJHN_00147	1	159	+	SsrA_binding_protein	1-160/160	1/1	99.38	78.8	phast	YP_009949245.1	PHAST_100046	PHAGE_Escher_500465_1_NC_049342-gi|100046|ref|YP_009949245.1| SsrA-binding protein [Escherichia phage 500465-1]
HFACCJHN_00174	19	149	+	deoxyuridine_5'_triphosphate_nucleotidohydrolase	17-147/149	0/0	87.92	66.4	phast	YP_008239432.1	PHAST_526003472	PHAGE_Salmon_SP_058_NC_021772-gi|526003472|ref|YP_008239432.1| deoxyuridine 5'-triphosphate nucleotidohydrolase [Salmonella phage FSL SP-058]
HFACCJHN_00231	1	283	+	thymidylate_synthase	1-283/283	0/0	100.0	79.2	phast	YP_009598659.1	PHAST_100068	PHAGE_Vibrio_SSP002_NC_041910-gi|100068|ref|YP_009598659.1| thymidylate synthase [Vibrio phage SSP002]
HFACCJHN_00445	16	574	+	terminase_ATPase_subunit	33-596/612	4/5	91.34	65.4	phast	YP_009207755.1	PHAST_971753865	PHAGE_Mannhe_vB_MhM_587AP1_NC_028898-gi|971753865|ref|YP_009207755.1| terminase ATPase subunit [Mannheimia phage vB_MhM_587AP1]
HFACCJHN_00469	1	200	+	tail_collar	1-200/210	0/0	95.24	91.5	phast	NP_536839.1	PHAST_17981848	PHAGE_Haemop_HP2_NC_003315-gi|17981848|ref|NP_536839.1| tail collar [Haemophilus phage HP2]
HFACCJHN_00472	6	281	+	hypothetical_protein	3-277/277	1/1	99.28	73.2	phast	YP_007002961.1	PHAST_418489077	PHAGE_Haemop_SuMu_NC_019455-gi|418489077|ref|YP_007002961.1| hypothetical protein [Haemophilus phage SuMu]
HFACCJHN_00486	1	72	+	hypothetical_protein	1-72/90	0/0	80.0	68.1	phast	YP_009207790.1	PHAST_971753900	PHAGE_Mannhe_vB_MhM_587AP1_NC_028898-gi|971753900|ref|YP_009207790.1| hypothetical protein [Mannheimia phage vB_MhM_587AP1]
HFACCJHN_00494	1	69	+	hypothetical_protein	1-69/69	0/0	100.0	89.9	phast	NP_043480.1	PHAST_9628615	PHAGE_Haemop_HP1_NC_001697-gi|9628615|ref|NP_043480.1| hypothetical protein [Haemophilus phage HP1]
HFACCJHN_00495	1	151	+	putative_DNA_binding_protein	1-161/163	1/10	92.64	82.0	phast	NP_043481.1	PHAST_9628616	PHAGE_Haemop_HP1_NC_001697-gi|9628616|ref|NP_043481.1| putative DNA binding protein [Haemophilus phage HP1]
